E-nummer,Internationalt navn,Dansk kaldenavn,Funktion,Risici,Forskningsafsnit,Link,Kilde
E100,Curcumin,"Gurkemeje, gurkemejefarve",Farvestof (gul-orange),Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (0-3 mg/kg kropsvægt/dag).,EFSA genvurderede curcumin i 2010 og bekræftede sikkerheden ved fastsat ADI; ingen påvist genotoksicitet eller kræftrisiko ved normalt forbrug.,https://www.efsa.europa.eu/en/efsajournal/pub/1679,EFSA (2010-udtalelse)
E101(i),Riboflavin,"Vitamin B2, laktoflavin",Farvestof (gul); også vitamintilsætning,"Ingen dokumenteret EU-specifik advarsel; naturligt forekommende vitamin, vurderes sikkert.",EFSA-genvurdering fandt ingen sikkerhedsproblemer ved anvendelse som farvestof.,https://www.efsa.europa.eu/en/efsajournal/pub/2249,EFSA (Reg. 1333/2008)
E101(ii),Riboflavin-5'-fosfat (natriumsalt),Vitamin B2-fosfat,Farvestof (gul); også vitamintilsætning,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,EFSA-genvurdering (2013) bekræftede sikkerheden af riboflavin-5'-fosfat som farvestof.,https://www.efsa.europa.eu/en/efsajournal/pub/2249,EFSA (2013-udtalelse)
E102,Tartrazin,"Gul 5, FD&C Yellow No. 5","Farvestof (gul, syntetisk azofarve)","Omfattet af EU's lovpligtige advarselsmærkning: ""kan have en ugunstig indvirkning på børns aktivitet og opmærksomhed"" (Reg. 1333/2008, bilag V). Kan udløse overfølsomhedsreaktioner hos personer med aspirin-følsomhed/astma.","En af de såkaldte ""Southampton seks"" azofarvestoffer; Southampton-universitetets 2007-studie fandt sammenhæng mellem blanding af disse farvestoffer og hyperaktivitet hos børn, hvilket førte til den obligatoriske EU-mærkning.",https://www.efsa.europa.eu/en/topics/topic/food-colours,EU-forordning 1333/2008 / EFSA
E104,Chinolingult,Quinoline Yellow,"Farvestof (gul, syntetisk)","Omfattet af EU's lovpligtige advarselsmærkning: ""kan have en ugunstig indvirkning på børns aktivitet og opmærksomhed"" (Southampton-seks).",En af de seks azo-/syntetiske farvestoffer omfattet af Southampton-studiets mærkningskrav.,https://www.efsa.europa.eu/en/topics/topic/food-colours,EU-forordning 1333/2008 / EFSA
E110,Sunset Yellow FCF,"Orange Yellow S, Gul-orange S","Farvestof (orange, syntetisk azofarve)",Omfattet af EU's lovpligtige advarselsmærkning (Southampton-seks). Kan udløse overfølsomhedsreaktioner hos aspirin-følsomme personer.,EFSA sænkede i 2009 den acceptable daglige indtagelse (ADI) for Sunset Yellow FCF på baggrund af en genvurdering af toksikologiske data.,https://www.efsa.europa.eu/en/efsajournal/pub/1330,EFSA (2009-udtalelse)
E120,Cochenille,"Karmin, karminsyre, Natural Red 4",Farvestof (rød),"Kan udløse allergiske reaktioner hos meget følsomme personer; udvindes af skjoldlus (insekt), hvilket er relevant for vegetarer/veganere og visse religiøse kosthold.",EFSA genvurderede cochenille/karmin i 2015 og bekræftede en gruppe-ADI uden nye sikkerhedsbekymringer ud over kendte allergirisici.,https://www.efsa.europa.eu/en/efsajournal/pub/4288,EFSA (2015-udtalelse)
E122,Azorubin,"Carmoisin, Karmoisin","Farvestof (rød, syntetisk azofarve)",Omfattet af EU's lovpligtige advarselsmærkning (Southampton-seks).,En af de seks farvestoffer omfattet af Southampton-studiets mærkningskrav; EFSA genvurderede stoffet i 2009 uden at ændre godkendelsen.,https://www.efsa.europa.eu/en/efsajournal/pub/1332,EFSA (2009-udtalelse)
E123,Amarant,Amaranth,"Farvestof (rød, syntetisk azofarve)","Ikke en del af Southampton-seks, men underlagt streng ADI; forbudt i visse anvendelser i lande uden for EU (fx USA).",EFSA-genvurdering bekræftede fortsat godkendelse i EU med fastsat ADI; begrænset til meget få fødevarekategorier (bl.a. visse spiritusprodukter).,https://www.efsa.europa.eu/en/topics/topic/food-colours,EU-forordning 1333/2008 / EFSA
E124,Ponceau 4R,"Cochenillerødt A, Cochineal Red A","Farvestof (rød, syntetisk azofarve)",Omfattet af EU's lovpligtige advarselsmærkning (Southampton-seks).,En af de seks farvestoffer omfattet af Southampton-studiets mærkningskrav.,https://www.efsa.europa.eu/en/topics/topic/food-colours,EU-forordning 1333/2008 / EFSA
